"Latitude","Longitude","CType","SampleYear","SowingPeriod","HarvestingPeriod","Others","Index"
28.132028,77.783611,"Habitation",2017,NA,NA,NA,7
28.124623,77.824981,"Habitation",2017,NA,NA,NA,7
28.209523,77.76543,"Habitation",2017,NA,NA,NA,7
28.150716,77.788006,"Habitation",2017,NA,NA,NA,7
28.164551,77.756772,"Habitation",2017,NA,NA,NA,7
28.192096,77.792759,"Habitation",2017,NA,NA,NA,7
28.166559,77.757717,"Habitation",2017,NA,NA,NA,7
28.128836,77.794189,"Habitation",2017,NA,NA,NA,7
28.130409,77.783654,"Habitation",2017,NA,NA,NA,7
28.151962,77.790701,"Habitation",2017,NA,NA,NA,7
28.13031,77.81127,"Habitation",2017,NA,NA,NA,7
28.162462,77.776262,"Habitation",2017,NA,NA,NA,7
28.123291,77.824016,"Habitation",2017,NA,NA,NA,7
28.131803,77.783396,"Habitation",2017,NA,NA,NA,7
28.129813,77.793889,"Habitation",2017,NA,NA,NA,7
28.191745,77.793445,"Habitation",2017,NA,NA,NA,7
28.163376,77.773901,"Habitation",2017,NA,NA,NA,7
28.133092,77.783174,"Habitation",2017,NA,NA,NA,7
28.123992,77.824209,"Habitation",2017,NA,NA,NA,7
28.209227,77.764486,"Habitation",2017,NA,NA,NA,7
28.152637,77.790904,"Habitation",2017,NA,NA,NA,7
28.132739,77.78492,"Habitation",2017,NA,NA,NA,7
28.173344,77.771696,"Habitation",2017,NA,NA,NA,7
28.131844,77.784512,"Habitation",2017,NA,NA,NA,7
28.191176,77.793016,"Habitation",2017,NA,NA,NA,7
28.162495,77.774513,"Habitation",2017,NA,NA,NA,7
28.12648,77.805154,"Habitation",2017,NA,NA,NA,7
28.173776,77.772179,"Habitation",2017,NA,NA,NA,7
28.1237,77.823956,"Habitation",2017,NA,NA,NA,7
28.152492,77.791248,"Habitation",2017,NA,NA,NA,7
28.167611,77.757534,"Habitation",2017,NA,NA,NA,7
28.163335,77.774352,"Habitation",2017,NA,NA,NA,7
28.158952,77.782414,"Habitation",2017,NA,NA,NA,7
28.159328,77.782017,"Habitation",2017,NA,NA,NA,7
28.123653,77.823522,"Habitation",2017,NA,NA,NA,7
28.158986,77.781084,"Habitation",2017,NA,NA,NA,7
28.166751,77.757706,"Habitation",2017,NA,NA,NA,7
28.158681,77.782779,"Habitation",2017,NA,NA,NA,7
28.167661,77.760249,"Habitation",2017,NA,NA,NA,7
28.1297,77.810647,"Habitation",2017,NA,NA,NA,7
28.152609,77.790711,"Habitation",2017,NA,NA,NA,7
28.166905,77.758038,"Habitation",2017,NA,NA,NA,7
28.164365,77.773901,"Habitation",2017,NA,NA,NA,7
28.185927,77.775423,"Habitation",2017,NA,NA,NA,7
28.134088,77.785191,"Habitation",2017,NA,NA,NA,7
28.163018,77.773204,"Habitation",2017,NA,NA,NA,7
28.16399,77.77388,"Habitation",2017,NA,NA,NA,7
28.167501,77.757116,"Habitation",2017,NA,NA,NA,7
28.209535,77.763542,"Habitation",2017,NA,NA,NA,7
28.158343,77.782318,"Habitation",2017,NA,NA,NA,7
28.163195,77.773354,"Habitation",2017,NA,NA,NA,7
28.129428,77.794232,"Habitation",2017,NA,NA,NA,7
28.187199,77.774736,"Habitation",2017,NA,NA,NA,7
28.167068,77.757287,"Habitation",2017,NA,NA,NA,7
28.127242,77.805283,"Habitation",2017,NA,NA,NA,7
28.165935,77.758865,"Habitation",2017,NA,NA,NA,7
28.123072,77.825475,"Habitation",2017,NA,NA,NA,7
28.162357,77.775124,"Habitation",2017,NA,NA,NA,7
28.171736,77.767458,"Habitation",2017,NA,NA,NA,7
28.167512,77.759229,"Habitation",2017,NA,NA,NA,7
28.162734,77.774309,"Habitation",2017,NA,NA,NA,7
28.128767,77.793717,"Habitation",2017,NA,NA,NA,7
28.130222,77.793739,"Habitation",2017,NA,NA,NA,7
28.130869,77.783225,"Habitation",2017,NA,NA,NA,7
28.127565,77.784941,"Habitation",2017,NA,NA,NA,7
28.166949,77.760023,"Habitation",2017,NA,NA,NA,7
28.163837,77.774481,"Habitation",2017,NA,NA,NA,7
28.208769,77.762963,"Habitation",2017,NA,NA,NA,7
28.131177,77.782495,"Habitation",2017,NA,NA,NA,7
28.150155,77.787845,"Habitation",2017,NA,NA,NA,7
28.208101,77.763606,"Habitation",2017,NA,NA,NA,7
28.129989,77.793288,"Habitation",2017,NA,NA,NA,7
28.128262,77.794189,"Habitation",2017,NA,NA,NA,7
28.130275,77.793159,"Habitation",2017,NA,NA,NA,7
28.131846,77.782602,"Habitation",2017,NA,NA,NA,7
28.191826,77.792737,"Habitation",2017,NA,NA,NA,7
28.207577,77.765559,"Habitation",2017,NA,NA,NA,7
28.167479,77.757674,"Habitation",2017,NA,NA,NA,7
28.161899,77.773848,"Habitation",2017,NA,NA,NA,7
