"VH_2017-05-15","VH_2017-05-27","VH_2017-06-08","VH_2017-07-02","VH_2017-07-14","VH_2017-07-26","VH_2017-08-07","VH_2017-08-19","VH_2017-08-31","VH_2017-09-12","VH_2017-09-24","VH_2017-10-06","VH_2017-10-18"
0.015827326,0.029253233,0.030939491,0.056825325,0.057215899,0.044875346,0.075884245,0.047500297,0.040125147,0.053356066,0.062059999,0.03432123,0.04631165
0.035798088,0.045095541,0.034122311,0.059988219,0.016513925,0.020905342,0.047924634,0.042276304,0.035520282,0.039179146,0.045815125,0.047070663,0.024223143
0.030264761,0.034360092,0.03794134,0.034637474,0.045411747,0.042375971,0.050795604,0.054510731,0.045492578,0.036694419,0.037366208,0.033718262,0.049545869
0.029767105,0.061751664,0.065594569,0.037939016,0.034164522,0.052653644,0.032974381,0.057026271,0.045617696,0.042767346,0.050424803,0.036918577,0.044192754
0.022015871,0.026855573,0.027453789,0.03360305,0.032742735,0.038884178,0.056081694,0.028506428,0.038359012,0.041618496,0.064020209,0.037187994,0.033522386
0.025484338,0.058348417,0.03602913,0.070363805,0.052671812,0.040040743,0.04923062,0.038190223,0.065378092,0.051973965,0.069606863,0.042978585,0.0522856
0.049212247,0.046715654,0.049788207,0.037457425,0.053751059,0.042491067,0.054904662,0.049795911,0.061078515,0.070265919,0.050604325,0.04331179,0.046426047
0.011103246,0.010462005,0.016316712,0.039808296,0.029934574,0.055747189,0.056515578,0.034389146,0.035822049,0.058300074,0.041022304,0.031483822,0.042793393
0.030160669,0.030224955,0.053338628,0.031654838,0.042174172,0.043496069,0.050457153,0.051544279,0.055149883,0.055975385,0.061954878,0.041460872,0.044223189
0.028844094,0.034332395,0.039123591,0.049275972,0.04406406,0.045727484,0.050781187,0.032740228,0.046426512,0.038813278,0.057765476,0.042191282,0.044508949
0.024496121,0.039218515,0.054128077,0.05189833,0.027654134,0.037216306,0.049185313,0.043211889,0.039490264,0.059888575,0.065260634,0.041460048,0.044452969
0.022841157,0.049311098,0.041949898,0.039406504,0.034576878,0.051605079,0.075785801,0.028488042,0.039561115,0.075732626,0.045476146,0.056298532,0.039583519
0.046821427,0.041660883,0.037603769,0.037584919,0.025907686,0.045320999,0.03985576,0.033364579,0.032909311,0.045252636,0.074029349,0.026655622,0.054165825
0.030597642,0.043490853,0.043315005,0.036532152,0.044431727,0.05154714,0.032720387,0.043717377,0.046166334,0.063674957,0.067060418,0.045969889,0.054290716
0.018630961,0.030420896,0.042079244,0.058231648,0.047076549,0.04931036,0.050915241,0.036184575,0.050261956,0.052682057,0.061465863,0.056351691,0.047054455
0.020742934,0.022963267,0.028659586,0.034653723,0.032675639,0.042595953,0.055861734,0.060613979,0.053698659,0.056296293,0.066961437,0.042854883,0.033746164
0.016629085,0.01922817,0.025602512,0.059328649,0.05463317,0.061864786,0.05926751,0.038926926,0.063352913,0.049904041,0.052728988,0.031861573,0.039272275
0.015710829,0.031204807,0.042169157,0.033938326,0.030255403,0.039465684,0.034923483,0.036495216,0.046993706,0.056382649,0.036562197,0.032590289,0.047096178
0.012596397,0.020355105,0.032966822,0.079759605,0.045842599,0.05521239,0.061155558,0.039826725,0.042635132,0.061050415,0.052700117,0.04549047,0.050079603
0.007547305,0.007503238,0.018028017,0.051808305,0.049775992,0.063952513,0.064004667,0.057667986,0.047067005,0.041360699,0.067501381,0.045425247,0.058187939
0.030192684,0.030318502,0.045093518,0.032108676,0.021465901,0.05712644,0.052695006,0.03610849,0.053760115,0.060989369,0.05914085,0.056037795,0.037878171
0.028757527,0.027058912,0.038402192,0.037332762,0.022996133,0.049197815,0.034915455,0.039929945,0.052581746,0.033200528,0.058719534,0.027238453,0.026273061
0.02159176,0.036222454,0.030330824,0.075332969,0.037144288,0.055171683,0.062308185,0.040587664,0.042893164,0.056732401,0.074631289,0.039678235,0.042012449
0.02364511,0.032324579,0.056852855,0.048428293,0.037714295,0.050500132,0.055664375,0.042691316,0.067759305,0.069545828,0.072916374,0.034561284,0.053439684
0.032432366,0.058321841,0.057647519,0.042802393,0.036915105,0.061383747,0.055196382,0.039623734,0.056452349,0.058996595,0.056163263,0.043376636,0.039400253
0.022613399,0.019191479,0.020459985,0.01797067,0.017448213,0.019228116,0.036370695,0.035287451,0.045624722,0.037870731,0.060384911,0.041550528,0.016199123
0.036387395,0.044707965,0.047967635,0.036214933,0.043769799,0.050587233,0.057165399,0.032215934,0.064392701,0.059727032,0.051800184,0.03563701,0.046613041
0.013014399,0.014767352,0.0269785,0.052645255,0.032475334,0.060616728,0.043271963,0.046057053,0.054656837,0.063154191,0.051522519,0.03192034,0.028195061
0.016787287,0.020282298,0.055301212,0.040272996,0.037769914,0.04389862,0.045577377,0.04257806,0.058118608,0.04928213,0.060696043,0.051460292,0.028501436
0.013703058,0.015012668,0.024355249,0.052329443,0.028333906,0.061231028,0.04239649,0.043315418,0.07231614,0.056409024,0.048369844,0.040493444,0.048058838
0.024494002,0.028642749,0.04173585,0.041649405,0.054803692,0.051168513,0.040984984,0.050883312,0.05356428,0.045609351,0.062884122,0.042074606,0.040490765
