2760,5521,5223,4925,3575,3063,53,5755,6616,6616,6616,6261,5906,6014
2622,5244,4015,2786,2693,3351,611,6201,7154,8107,7051,6189,5328,6721
3968,7936,8559,9183,4000,1448,2099,2750,5464,8179,7583,7148,6713,8869
3024,6049,4184,2319,2714,3213,4722,6232,7062,7892,7083,6529,5975,7833
2573,5147,4483,3819,3495,4913,5510,6108,7111,8115,7118,6233,5348,7141
1466,2932,2313,1694,1846,2028,3602,5177,6714,8251,7783,7513,7244,7448
2830,5660,4757,3854,2495,2662,4236,5810,6921,8033,7548,7048,6548,6853
4145,8291,8066,7842,2026,1673,2378,3083,4462,5842,7495,6805,6115,7820
4150,8300,8244,8188,1987,1557,2337,3118,4840,6562,7648,6754,5861,8645
3853,7706,5605,3505,1508,1675,3540,5406,6614,7822,7797,6741,5685,8405
2282,4565,3384,2203,1175,1879,3845,5811,6587,7363,7454,6556,5658,7228
3189,6378,6438,6499,1717,2763,4368,5974,6729,7484,7476,6720,5964,6508
1324,2648,2141,1634,1525,1265,1789,2313,4697,7081,7682,6560,5438,8683
3915,7830,8119,8408,2986,1599,1667,1736,2600,3464,6482,6122,5762,7970
3059,6118,6034,5951,2466,3143,4349,5556,6811,8067,7259,6955,6651,7409
4091,8183,8680,9177,3633,1608,1655,1703,2747,3791,6219,6715,7212,4242
2955,5911,6051,6191,2672,2867,4161,5456,6724,7992,6903,6523,6144,7660
1642,3285,2732,2180,1477,1938,3180,4423,6153,7884,6790,6352,5914,7686
3299,6599,4498,2398,2560,2728,4304,5881,6933,7985,7413,6846,6280,7840
3506,7013,4245,1477,1244,1291,3347,5403,6761,8120,7896,6654,5413,8284
3380,6760,4411,2062,1385,1243,2328,3413,5674,7935,7620,7296,6972,8545
4245,8490,8398,8307,2209,1403,3977,6552,6221,5890,5533,4552,3572,1310
3088,6177,3521,2379,2405,2668,4237,5807,6858,7910,7611,6376,5142,7066
3807,7615,8193,8771,4668,1437,2229,3021,3918,4815,7961,7390,6819,2603
3722,7445,8149,8854,4472,1272,1857,2442,5265,8088,7539,6098,4658,8378
3116,6232,5933,5635,2637,2292,4172,6052,7135,8219,6894,8508,8508,8508
2184,4368,2799,1230,1589,1417,2227,3038,5520,8003,6351,5235,4120,8213
3230,6460,4397,2335,2347,2526,4303,6080,7159,8239,6920,5750,4581,7889
3716,7432,4507,1583,1165,1426,2265,3104,5389,7674,6508,5177,3847,8371
3561,7122,4082,1043,1340,1376,2303,3230,5506,7783,7188,5368,3549,8686
3950,7900,8432,8965,3380,1896,2291,2686,4601,6516,6424,5065,3707,8147
3129,6259,6401,6543,2449,2700,4352,6005,6986,7968,7366,5466,3566,6342
3066,6133,4471,2810,2353,2490,4126,5763,6853,7944,7712,6866,6020,7784
4244,8488,8713,8939,2665,1567,1796,2025,4035,6046,8109,7183,6258,1228
4217,8434,8637,8841,2634,1518,1760,2002,4327,6652,8200,7080,5961,1451
3868,7737,7803,7870,2552,1663,1797,1932,2869,3807,4535,4535,4535,3075
3938,7877,7547,7217,2596,1636,1780,1925,2794,3664,4599,4599,4599,2658
2715,5430,5260,5090,1657,2281,4160,6039,6514,6990,6250,7914,7914,7914
950,1900,5161,8422,5932,1744,1711,1678,3249,3249,3249,7437,7437,7437
1362,2724,2146,1569,1131,1803,3383,4964,5527,6091,5394,4455,3516,8351
3900,7800,8106,8413,2242,1165,1418,1672,3472,3472,3472,3913,4354,4769
4093,8186,8387,8589,2303,1336,1509,4968,6230,6230,6230,6034,5838,3310
3786,7573,7814,8055,2067,1295,2031,2655,7314,7314,7314,5355,3397,5313
3933,7866,8036,8207,2963,1552,1922,1744,4553,4553,4553,5043,5533,7670
2876,5752,4389,3027,2667,2861,3799,5574,4986,4398,7234,7065,6896,7879
